Kinase	BRAF_druginhibition_175_GSE42872	BRAF_druginhibition_38_GDS5085	FGFR3_druginhibition_36_GDS5023	ERBB3_knockdown_65_GSE19921	BRAF_knockdown_193_GSE5481	AURKA_druginhibition_196_GSE57810	HUNK_knockout_240_GSE14226	TGFBR2_knockout_293_GSE46211	TGFBR2_knockout_292_GSE46150	TGFBR2_knockout_295_GSE45968	TGFBR2_knockout_296_GSE22989	PDK1_knockout_265_GSE42187	TRIM28_knockout_302_GSE32224	TRIM28_knockout_303_GSE32224	RAF1_activemutant_219_GSE42964	CDK4_knockdown_225_GSE8866	IGF1R_druginhibition_46_GSE14024	IRAK4_defectivemutant_200_GSE6789	RET_knockout_270_GSE32093	GSK3A_knockdown_201_GDS4305	GSK3B_knockdown_202_GDS4305
MAPK11	10.857023517848102	10.857023517848102	6.044358284573642	17.266683696216877	8.032947987036836	6.728425519486514	15.774293856897943	6.207438141728369	2.6800935106176254	6.271229543952501	5.377644994682417	11.359448180420285	3.450476021702195	3.6911004599953827	7.036027492549407	12.708538450063811	3.492034438245137	11.359448180420285	5.901245269881879	5.762408298345053	9.346503464275541
JNK1	10.808877714610126	10.808877714610126	17.334698183741985	20.674390469962578	19.414637038866314	17.757835039527546	26.803038007929956	12.885423580783561	17.43346790956088	15.06823032420162	13.462834081234906	18.665557935777255	8.80858867045921	6.785624496457254	22.56218188149477	22.59876146257483	NA	13.886726854396532	18.38678624816437	16.75584546201963	16.121419108937836
RAF1	10.31553374405925	10.31553374405925	7.581181516243964	12.329391362727009	2.9998667878894443	8.113552893400735	17.208791173497552	5.926776847530035	11.678594875113037	5.936935540684729	5.056277716620442	14.794200516113918	5.014455272588093	5.347318669336687	8.237113714983472	15.771302719855486	3.3482748784505643	8.901253716417148	3.6885835527541526	9.192380588445086	12.626912899610366
PRKAA2	9.932164903745798	9.932164903745798	NA	2.4803798395483057	1.0618886188334016	9.73931771088228	4.5196685697998005	NA	2.358309163714402	1.3737766379094984	1.2004906031974851	2.555133349640339	1.5801108628900362	1.663103737229465	6.270543298579553	2.086575909180552	5.54978362732217	4.458693204348018	4.095652965837148	1.2753123166585567	0.9978414295457506
PRKAA1	9.617373793820914	9.617373793820914	8.671531972908776	3.282102063873588	0.39882407660114805	9.360193261017837	4.999011265259489	0.980273041155601	9.47909973032137	8.957533296287759	2.6803916252307447	2.134905204658698	5.74269489593211	2.2572925003279956	11.575299542578408	8.334805223323167	3.7334793556404793	4.905242461020345	6.36864560786709	2.894468681812478	4.859348785089499
IKKALPHA	9.289872674448885	9.289872674448885	13.305750357207144	3.4102155713361535	8.793711650756899	15.294954362648399	8.613036120912232	2.3063074724225205	10.801377267282133	7.158438126900303	12.539912720054101	3.490235120560876	7.852104799074992	NA	10.898556943191178	5.098797836119484	NA	5.881859600352708	8.354578666442219	NA	5.850433279091262
PRKCB	8.941649160608844	8.941649160608844	5.329405457436908	5.743779666341003	5.07360841371309	10.338630102362222	10.83479476761009	6.175836572118126	8.02560931238432	4.095815881123951	4.589477276590983	7.44635511463304	3.518040294304018	5.470296189283259	14.830833007498383	10.991756099711962	NA	7.44635511463304	5.805648651047648	8.198571990127876	10.513256453144264
MAP2K4	8.869440007651688	8.869440007651688	7.245269380502978	2.089562712999282	0.8760742341363369	6.365757420168856	2.1982209867536024	1.591081080709723	1.973242059707729	1.1725356328212044	2.5631020475359882	3.8468849466295914	3.3462405474627537	3.5170881032008996	9.730340014106241	4.805354535067832	NA	5.793290018054057	6.19031801709535	1.0783160801041598	3.817949561947541
ATR	8.781278699340778	8.781278699340778	2.719724049626623	19.437860961970436	6.236064373079383	4.998827412147087	15.696682294769	4.089097651693923	3.901826011108537	2.8425281349448315	1.229543543623684	7.562293112377431	3.430021492909242	3.670293683458732	2.7151483876488935	27.53368113510005	NA	13.330491729329594	2.1538741078991896	16.47010566295061	24.663840770258002
ABL1	8.689507430412174	8.689507430412174	19.01448424071988	22.31958774048428	17.34717077434466	18.443334748481277	23.358266111675768	14.300285459000184	9.703923435301562	10.47678583778388	17.192816538677825	23.002481126379184	5.959710407911044	15.52701340452747	15.34101379887669	29.226890758556525	5.107819387995046	7.337330914236882	8.858171367516757	15.934830936647012	25.12455969322172
PKBGAMMA	8.606686247194308	8.606686247194308	9.367301324975962	1.2543234864622477	5.568302364690375	8.451985402355637	1.3104500319700456	4.9019930021022295	9.968643892797006	6.636042103860132	1.4976770271259587	1.2912485361873116	1.8944368303399923	NA	10.064808157651452	4.603920385270518	NA	3.1539195052328277	7.823440025391732	NA	5.343028931149021
CSNK1E	8.089533400232066	8.089533400232066	6.614926754410078	11.367481219434314	9.734505274011141	5.750851506617801	9.472033575527327	3.4897143448568584	4.787304800075465	6.806140583910103	6.0481386740977285	5.190799545497923	1.2216606909219614	5.488189704579525	11.025899363640228	7.817072162642128	NA	14.094468718566613	3.338538726911208	4.26203388873431	9.28407107771172
SRC	7.9510772239209	7.9510772239209	8.565068074565408	12.986662009793106	11.83391348190328	13.100291987725601	15.577429438682202	5.519661919271998	14.644268208236227	7.644824443073301	8.379660943232116	12.24391594212301	9.877473861093083	5.977971961208736	10.85352606830292	11.864490930609254	1.2429466324949652	8.318439428770363	3.755944629159087	9.325568433060068	10.717067052396425
PRKCD	7.812270189387926	7.812270189387926	9.039197264752536	4.898876039067236	10.61332944859592	11.329748687267674	6.76279418526033	7.762502910229206	10.900991065973892	9.368923609742682	9.979197083192332	8.284265822382002	3.024260770767084	5.023160062207949	14.912344073526087	11.157266316932649	NA	13.912842031932861	12.097759743761047	8.629443903246875	13.800139703931551
PRKG1	7.748255589476953	7.748255589476953	0.9284213062811382	NA	3.39014878768782	0.7534556227510941	0.6595961666706528	NA	1.5851715744400958	0.9680211127664551	2.1418118145950586	0.6443005235484667	NA	NA	2.9800693597648693	0.467320259546495	NA	0.6443005235484667	3.199290016726646	NA	1.743823317526119
PDHK1	7.494371338172082	7.494371338172082	4.081540077162213	0.5771316170563529	1.779417077928836	7.310634189364022	1.7073525121911972	1.3183766779891688	14.576261253683485	2.387344275063749	3.6788673297044436	1.67291736733495	1.1094217602717127	NA	4.408562546995301	3.798791266751767	NA	1.67291736733495	NA	NA	6.552258033780459
TBK1	6.9758091151772375	6.9758091151772375	12.713241029139956	1.4330218563671078	2.9591107386172055	6.7947841282678825	4.417718501505638	1.2172061919915456	3.956433079671954	5.901833098047227	3.3802778048369175	1.4964033117021334	2.5889091235613257	1.0874694631663653	11.596607209407347	4.907072615228358	NA	10.103818234748603	5.00853705790127	0.7484204546437591	4.304035242016729
CSNK1A1	6.869261311639589	6.869261311639589	3.7122791580841787	0.48721081436765595	1.5625283759073876	6.688837661237655	2.787680418571226	2.9882741498770558	3.877994090277857	3.845736777424454	0.6687217544454587	4.260928802295797	0.9936126389468974	1.067458834602943	9.343672312366607	3.354018192739012	NA	4.260928802295797	7.331959621670018	1.9621222947059522	5.94583174477501
PRKCZ	6.765547564614892	6.765547564614892	9.954315348137923	11.646619494838877	6.196947965590912	15.612411793952521	7.898926063155314	7.561345940271608	11.114113808037876	10.247552099091953	5.000503914101771	9.809714167848963	6.602413724497771	4.666859810073321	9.200469489504231	11.905756735339045	NA	4.182736435876619	4.876872949044035	3.4858788117974644	11.889392560701287
