score,n_g2n_nodes,n_sig_kinase,kinase
1,37,64,SRC
1,102,104,EGFR
1,34,60,FGFR1
1,51,69,FGFR2
1,47,57,ROCK1
1,59,86,ROCK2
11.100950965020305,116,121,ABL1
1,53,80,PIK3CG
1,139,99,FLT4
3.3648837404082066,73,86,MAP3K1
1,86,50,SCYL1
1,86,92,MET
3.773668457101197,53,122,MAP4K5
5.08357409252401,122,110,PLK3
29.40956934872015,95,92,CDK4
9.905133244727423,88,95,MAPK14
1,84,96,MET
5.601058762296303,69,80,ABL1
5.132230524460799,112,103,ABL1
1,121,106,FGFR1
1,123,106,FGFR1
2.331817415983042,154,103,ERBB2
1.7661708982346105,62,79,JAK1
1,66,43,JAK2
1,104,89,EGFR
1.7573090711486052,100,113,ERBB3
9.068859776169623,94,75,GSK3B
9.068859776169623,94,75,GSK3B
1,85,97,IRAK4
1,82,91,ERBB2
1,65,93,ERBB2
4.93103760895768,77,85,JAK2
1.1044977187142389,86,99,KIT
1,93,75,PDGFRA
1,129,113,MET
5.046159884073973,131,105,MAP2K4
1,112,77,TRIM33
10.795721486702414,128,109,ATM
1,46,50,CDK19
9.09810054228667,47,55,CDK8
7.516434376730923,56,66,MELK
1,54,67,TNIK
1,43,68,BMPR1A
1,108,106,TRPM7
1,110,87,TRPM7
9.24694914484749,84,60,CDK8
1,85,90,PIK3CA
2.055247574636239,64,68,PLK1
4.810437160519508,78,64,CDK9
1,93,106,FGFR1
1.4233381087492172,111,106,TGFBR1
7.555385903409387,76,71,ATM
1.1249395599588337,101,80,LRRK2
1.1249395599588337,101,80,LRRK2
1,37,44,ATM
7.691659515562003,96,91,ATM
1,107,102,ERBB3
9.118375661972735,79,70,GSK3A
10.121223334629853,74,63,GSK3B
1.3879678545143814,98,87,JAK2
18.265649685692342,97,99,HIPK2
16.204576240071436,84,98,HIPK2
1,95,76,IRAK2
8.684213732918572,87,72,JAK2
1,102,98,MYLK
4.288063715202763,80,99,VRK1
1,78,54,SRC
1,60,68,PTK7
1,69,95,RAGE
2.124605309926882,64,58,HIPK1
6.778255105125399,75,76,JAK2
13.067921297088606,109,122,AKT1
1,51,68,BTK
1.2572577164139749,80,61,AURKA
2.7107225494340637,65,96,CHEK1
3.4558301505415345,36,75,CHUK
1.6604947241622636,74,64,CDK7
1,49,97,ERBB2
1,93,97,ERBB2
1,40,84,ERBB2
2.161545760474926,86,111,ERBB2
2.2975950656351367,50,115,ERBB2
1,46,74,ERBB2
10.97871622628126,105,116,ERBB2
1,54,86,ERBB2
19.938576032510205,134,110,ATM
2.9927002180801563,89,104,PRKCA
1,106,101,TIE1
7.474899101751846,105,107,CDK5
2.1186801638209847,27,55,STK11
