score,n_g2n_nodes,n_sig_kinase,kinase
4.052467291615567,123,92,CHEK1
7.222906228493731,30,24,CHEK2
9.650514803751653,93,82,CHUK
1,89,67,DDR1
1,114,84,EGFR
1,41,70,EPHB2
1,71,63,ERBB2
1,109,102,ERBB3
1,70,69,FGFR1
1,47,50,FGFR2
2.2664267968091862,76,96,FGFR3
1,64,57,FLT1
1,99,78,FLT4
4.7652099054545864,136,88,GSK3A
6.77605770487517,80,74,GSK3B
1,70,90,HIPK1
1,70,89,IGF1R
3.742625125129211,90,55,IKBKB
5.48944397914381,106,109,IKBKE
4.0555873934415505,42,64,ILK
1,42,98,IRAK2
1,115,105,IRAK4
1.0883045593902068,139,85,JAK1
1.971402146403993,71,67,JAK2
1,79,72,KDR
1,95,87,KIT
1,137,102,KSR2
1.4762042861947702,71,90,LRRK2
10.579012693042207,142,99,MAP2K1
1,109,76,MAP2K4
1,66,63,MAP3K1
3.1455482687031977,79,74,MAP3K7
5.672941729444033,74,78,MAPK1
8.52806225229803,122,103,MAPK14
4.043260171409073,84,84,MELK
1,98,89,MET
1,76,86,MYLK
1,123,87,NTRK3
1,81,92,PDGFRA
1,118,94,PDGFRB
2.2664267968091862,70,119,PDK1
1,86,91,PIK3CA
3.4770884850406283,38,48,PIK3CG
1,75,85,PLK1
1.4968678425661113,72,73,PLK2
4.1103979544642435,97,73,PRKACA
1,115,116,PRKACB
1,91,65,PRKCA
1,58,72,PTK7
2.5360400788692132,63,56,RAF1
1,84,68,RET
1,151,77,ROCK1
1,111,99,ROCK2
4.238030238284093,93,69,RPS6KA3
1,57,100,SNRK
1,93,65,SRC
1.676850933625174,43,104,STK11
1,94,87,STK33
1,71,75,SYK
4.402995444740855,75,76,TBK1
1,78,71,TEK
1.867924958307653,83,67,TGFBR1
8.89910816918807,111,88,TGFBR2
1,135,99,TNIK
1.5069303789558108,78,51,TYK2
1,69,65,ULK1
3.84269204410931,114,98,VRK1
8.907977597324896,92,102,WEE1
4.2986350152130495,49,50,ABL1
2.909709383834625,97,86,AKT1
1.3464412653573463,78,73,AKT2
1,78,103,ALK
23.014141312645037,134,101,ATM
1,49,71,ATR
1.3421529203994256,79,62,AURKA
3.796151191840536,117,89,AURKB
1,53,82,BMPR1A
1,69,75,BRAF
3.0691482485780845,73,91,BTK
1,96,109,CDC7
1,64,69,CDK10
1,82,79,CDK19
7.2320585123109895,27,62,CDK2
23.736352137257775,90,95,CDK4
4.606148437544414,85,72,CDK5
6.004327663422621,72,78,CDK6
7.125740667497175,99,90,CDK7
7.793313430914296,63,61,CDK8
6.5940370014527305,139,92,CDK9
1.9333960761926143,86,101,CHEK1
10.66255990498876,45,73,CHEK2
11.34618533995298,125,85,CHUK
1,92,88,DDR1
1.6646880261176669,79,62,EGFR
1,148,100,EPHB2
1,59,94,ERBB2
1,57,72,ERBB3
1,64,55,FGFR1
1,94,103,FGFR2
1,87,89,FGFR3
1,96,65,FLT1
1,102,71,FLT4
11.478585297554746,74,89,GSK3A
4.5239591710588,39,54,GSK3B
2.060525930324529,72,84,HIPK1
1,69,91,IGF1R
5.535382324730498,81,102,IKBKB
5.7247639010794344,52,88,IKBKE
1,70,66,ILK
2.2972449220009996,77,88,IRAK1
1,27,39,IRAK2
1,93,67,IRAK4
6.506462496639196,64,116,JAK1
3.787975880147727,61,63,JAK2
1,75,90,KDR
1,47,96,KIT
1,107,79,KSR2
1,70,60,LRRK2
9.628848199732161,127,88,MAP2K1
1,109,77,MAP2K4
2.853424469978168,105,103,MAP3K1
1,74,82,MAP3K7
14.194682454035576,58,87,MAPK1
6.260421428314012,67,61,MAPK14
1.455501337845043,111,103,MELK
1,91,80,MET
1,158,88,MYLK
1,27,29,NTRK3
1,66,58,PDGFRA
1,170,112,PDGFRB
2.281701717493778,65,84,PDK1
1,69,101,PIK3CA
1,84,114,PIK3CG
1,97,123,PLK1
2.0494042901342655,34,99,PLK2
1.8275563890763988,42,55,PRKACA
1,46,79,PRKACB
3.077846530483869,105,105,PRKCA
1,139,84,PTK7
